,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136
io_drug,Nivolumab,Atezolizumab,Nivolumab,Nivolumab,Nivolumab,Atezolizumab,Pembrolizumab,Ipilimumab+Nivolumab,Atezolizumab,Pembrolizumab,Pembrolizumab,Nivolumab,Atezolizumab,Durvalumab+Tremelimumab,Pembrolizumab,Atezolizumab,Pembrolizumab,Nivolumab,Pembrolizumab,Pembrolizumab,Pembrolizumab,Pembrolizumab,Nivolumab,Pembrolizumab,Pembrolizumab,Nivolumab,Atezolizumab,Nivolumab,Pembrolizumab,Nivolumab,Pembrolizumab,Resection + Ipilimumab+Nivolumab,Pembrolizumab,Nivolumab,Nivolumab,Pembrolizumab,Pembrolizumab,Atezolizumab,Atezolizumab,Nivolumab,Nivolumab,Nivolumab,Nivolumab,Pembrolizumab,Atezolizumab,Nivolumab,Nivolumab,Pembrolizumab,Atezolizumab,Pembrolizumab,Pembrolizumab,Pembrolizumab,Atezolizumab,Nivolumab,Atezolizumab,Nivolumab,Atezolizumab,Pembrolizumab,Nivolumab,Atezolizumab,Atezolizumab,Nivolumab,Pembrolizumab,Pembrolizumab,Ipilimumab+Nivolumab,Pembrolizumab,Pembrolizumab,Pembrolizumab,Pembrolizumab,Nivolumab,Pembrolizumab,Atezolizumab,Atezolizumab,Atezolizumab,Pembrolizumab,Pembrolizumab,Pembrolizumab,Pembrolizumab,Ipilimumab+Nivolumab,Pembrolizumab,Atezolizumab,Nivolumab,Pembrolizumab,Pembrolizumab,Pembrolizumab,Nivolumab,Pembrolizumab,Pembrolizumab,Atezolizumab,Nivolumab,Nivolumab,Pembrolizumab,Pembrolizumab,Atezolizumab,Pembrolizumab,Pembrolizumab,Pembrolizumab,Pembrolizumab,Pembrolizumab,Pembrolizumab,Pembrolizumab,Nivolumab,Pembrolizumab,Atezolizumab,Nivolumab,Atezolizumab,Pembrolizumab,Pembrolizumab,Pembrolizumab,Pembrolizumab,Nivolumab,Pembrolizumab,Nivolumab,Pembrolizumab,Durvalumab,Nivolumab,Nivolumab,Atezolizumab,Pembrolizumab,Nivolumab,Nivolumab,Atezolizumab,Atezolizumab,Pembrolizumab,Pembrolizumab,Nivolumab,Atezolizumab,Atezolizumab,Nivolumab,Nivolumab,Pembrolizumab,Durvalumab+Tremelimumab,Nivolumab,Atezolizumab,Durvalumab,Nivolumab
pfs_censor,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1
EGFR_Status,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
ALK_Status,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ROS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
STK11,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
PD-L1,0,10,0,0,0,0,50,0,0,5,60,80,0,0,75,60,90,0,100,1,90,40,0,90,80,0,0,0,50,0,5,70,30,1,0,40,1,1,0,25,0,0,0,60,0,0,0,10,0,75,10,5,0,0,0,0,0,80,70,0,0,60,80,75,0,100,80,80,90,0,30,0,0,0,50,80,100,100,0,70,0,0,60,2,50,0,20,80,80,0,0,70,60,0,100,30,50,50,90,90,80,0,80,0,0,60,30,90,70,70,5,80,1,95,0,0,0,0,70,0,0,0,0,30,80,50,0,0,0,0,50,50,0,0,15,0
TMB,14,3,2.6,0.9,2,1.8,6.1,5.3,14,6.1,12.3,3.9,33.4,8.9,51.8,5.9,2,48.3,3.5,5.3,3.5,5.3,9.7,4.9,9.7,6.1,2.6,13.2,0,12.3,19.3,2.6,3.5,10.5,10.5,7,18.4,7.9,6.1,14.9,6.1,5.3,2.6,13.2,6.1,1.8,4.9,5.3,8.8,10.5,16.7,7,4.4,16.7,14,4.4,10.5,10.5,1.1,8.8,9.7,0,0,10.5,2,11.4,13.2,42.1,12.3,7.9,20.2,27.2,5.9,2.6,11.4,5.3,20.2,0,4.4,7,3.5,29.8,7.9,7,9.7,7.9,12.3,8.8,5.3,5.3,10.5,1.8,3.5,4.4,3.5,14.9,0,7,1.8,3.5,2.6,30.7,25.5,0.9,17.7,4.4,11.4,7.9,19.3,10.5,14.9,10.5,7.9,18.7,3.3,9.7,6.1,8.8,12.3,11.4,33.4,5.3,1.8,14.9,13.2,3.9,26.3,5.3,2.6,18.7,8.8,11.8,10.5,1.8,7,4.4
PFS (D),94.4,209.45,32.45,188.8,47.2,97.35,315.65,23.6,398.25,32.45,56.05,1448.45,120.95,159.3,103.25,64.9,590,309.75,162.25,82.6,147.5,646.05,17.7,203.55,17.7,103.25,20.65,91.45,445.45,150.45,672.6,32.45,460.2,448.4,327.45,56.05,73.75,59,11.8,41.3,29.5,247.8,14.75,73.75,20.65,120.95,76.7,23.6,38.35,256.65,265.5,61.95,38.35,433.65,61.95,56.05,53.1,489.7,436.6,85.55,156.35,17.7,460.2,76.7,277.3,439.55,35.4,14.75,324.5,88.5,286.15,41.3,23.6,35.4,56.05,336.3,439.55,59,35.4,168.15,44.25,374.65,20.65,85.55,67.85,123.9,171.1,79.65,224.2,11.8,61.95,374.65,539.85,29.5,581.15,106.2,59,253.7,76.7,354,182.9,50.15,283.2,135.7,138.65,708,59,312.7,554.6,73.75,47.2,2.95,247.8,165.2,218.3,29.5,53.1,47.2,309.75,38.35,250.75,35.4,44.25,274.35,436.6,79.65,354,44.25,53.1,908.6,35.4,17.7,115.05,56.05,380.55,44.25
diagnostics_Mask-interpolated_Mean,541.1175666,495.3051143,533.9447601,542.3634742,531.7131843,521.0503127,527.1580993,532.1129722,465.5456995,450.2437996,533.4624841,513.0883158,530.8600193,545.9836436,536.2306741,488.4140076,510.3325926,531.4299105,530.2295481,479.52424,529.8708994,490.3309102,538.6960873,539.8336888,543.6331509,528.3930388,553.9718866,391.12919,533.3037568,516.304033,533.1383837,524.1466784,532.7306409,530.2291002,474.7129587,527.8330306,530.6767314,529.9974684,526.8648527,517.1576251,543.4934324,516.5601734,541.5561089,528.0588734,524.6365467,392.1489954,416.0089691,484.1601962,497.9189933,519.462387,525.448017,522.5745441,489.6800536,419.7542567,522.249801,441.1490766,530.2892786,526.7686386,424.3669981,447.9193814,536.073284,515.8524387,277.6611411,522.2844253,532.8634874,527.4673275,524.1733181,521.8034613,537.5041099,521.7512281,492.971704,550.9651941,535.6543842,309.6196209,530.2109341,529.1891139,533.1375502,477.0143466,513.6138002,541.7658196,517.0203263,484.3579088,518.8355772,530.2060817,517.3038704,492.0208357,436.1203967,516.4522046,517.9181829,471.5615406,510.2480987,525.5946442,402.2928834,518.9001823,532.2030479,536.323539,541.3846225,526.3015313,436.6528479,483.2715001,522.599958,531.2704217,543.8148258,482.6259196,532.53259,547.9703909,533.9361043,526.1567961,260.4867117,465.4843092,534.804443,555.5447523,509.8532151,529.8856349,543.9965285,553.9506551,345.4556864,460.7683984,528.5588721,521.9054172,510.9289567,534.7100094,516.1960797,537.778036,526.6815034,471.2433359,424.8612065,523.81815,524.4933966,389.0612555,532.2404186,529.2309963,449.909406,528.5692652,517.9937816,516.4652934
diagnostics_Mask-interpolated_Minimum,335.8073425,353.4176941,266.5709839,334.0523987,459.3734741,343.2609558,232.8146515,171.4631042,283.2546692,15.08911133,332.1821289,41.85973358,399.9574585,260.6516113,443.6940308,286.5511475,178.0788727,374.8275757,264.7887878,159.6678314,346.0429993,157.4981079,328.0337524,396.8426208,507.6076355,364.5627441,307.1733093,163.447403,341.7092285,274.2120667,421.7901306,410.8516846,478.3023376,336.9225464,154.673111,168.0223236,349.6799927,350.2581177,372.53302,184.4090424,362.5081482,208.927063,397.1478577,348.498291,230.5001221,192.7216339,115.5827942,243.7868652,149.3688202,384.5907593,366.9999695,381.4581604,260.7035217,186.9721527,297.5059814,233.6338959,431.2466431,211.1793518,0.346316874,175.8551331,320.2845764,338.0018921,139.9165344,157.0055847,211.7978973,382.9206543,336.1583862,185.421524,262.0496216,354.9858704,188.7038727,257.681488,345.7173157,4.338854313,376.5371094,388.8693542,315.5940552,189.5077515,241.7354126,375.1707764,256.6728516,288.5884399,374.1954346,324.5314331,150.1187134,289.401947,1.945367813,178.0018311,172.0460052,280.0601807,358.5153503,323.5196838,188.892868,367.6770935,314.9645386,361.8892212,246.6208344,245.7913818,7.693818569,244.842865,162.6642609,336.4624329,375.5457458,102.1282272,269.7331848,375.7112122,309.9883423,368.4165955,21.01063919,312.9550476,394.6956177,402.8282166,281.6975098,319.0770874,213.1051178,386.0158997,151.8552704,59.32941437,324.4378662,302.0136414,361.1816711,373.8861084,381.3758545,147.6418457,355.277832,233.1600037,1.186532497,216.7485809,270.3585205,168.9171448,318.9659119,319.4134521,-2.83633256,374.6049194,264.0659485,119.9588699
