,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136
log-sigma-3-0-mm-3D_glcm_SumEntropy,3.655769071,2.516905095,2.960543142,3.030282558,1.963296372,3.284484025,3.11619712,1.878709277,3.503270518,3.729945196,3.264504953,3.407421712,3.670976116,3.021471244,3.030766733,2.990969151,3.788849125,3.183218214,2.43034256,3.25249922,2.31187876,3.586079023,3.099975851,2.822220653,2.067211061,3.294106878,1.364020137,4.395235381,2.405024583,3.403848664,3.011696967,1.633437604,2.458303607,2.304097271,3.86168471,3.655089916,2.605656359,3.869372804,3.457383279,3.065804846,2.208610448,3.473716995,2.004049434,3.467080084,3.034653046,3.908598809,4.089591637,3.585621609,3.402028573,3.510969651,2.927150719,3.064027063,3.224358079,3.678097169,3.181847187,3.956466078,3.040668989,3.541205139,4.333666643,3.518672049,3.182923052,3.240910847,3.193074923,3.467492303,3.598365164,2.840410533,3.050873328,3.360042671,2.296911337,1.904907504,3.942745801,2.854078682,3.051506684,4.24777041,1.943451438,2.67021617,3.02424669,3.413485235,3.570094686,2.404366254,3.202787654,3.499088899,3.540839215,3.363674851,3.565129651,3.099543871,4.295276338,3.570598017,3.727192451,2.852430015,3.154515565,3.139450246,4.086196885,2.867642977,3.348392394,2.857677025,2.90654989,2.729222733,3.916693425,3.750024981,3.463488868,2.432845853,2.387101523,3.301692283,3.610372183,2.645822922,3.040697463,3.72044717,3.150597982,2.983972349,2.302474686,2.556376068,3.114530323,3.054865965,2.019300353,2.219015212,3.604124861,3.565841995,2.839693725,3.899605604,3.042013826,2.664265801,3.621824495,2.423795728,2.786626026,3.462107953,3.803292369,2.305224886,3.526508283,4.035746295,3.594686503,2.607266496,4.095562627,2.497771945,3.108041504,3.102620446
log-sigma-3-0-mm-3D_glcm_SumSquares,3.049467673,0.695656911,1.504450977,1.654874317,0.486036859,1.823466952,1.92989842,0.637450177,2.465885571,3.54152427,2.077389309,2.762307978,3.268614253,1.811174022,1.663247497,1.468420792,3.381560265,1.650209359,0.893813362,2.106585897,1.546919687,3.657833334,2.487848657,1.05860449,0.559447188,2.348489354,0.238200201,8.575525233,0.924095956,1.946304704,1.474909138,0.316370749,0.93453403,1.203450461,3.982846492,4.064440815,1.193335022,4.09470184,2.276436946,4.115199457,0.814701364,4.53215851,0.607552444,2.690825361,1.741251155,4.287190538,4.782271329,2.73010437,2.018635757,2.570891783,1.609929148,1.55432184,1.527488295,3.086808541,1.846276448,4.761048386,2.0113317,3.570841721,7.99336486,2.513500551,1.916954984,1.766072731,1.637958351,2.902502418,2.599717955,1.352907747,1.259246783,2.294738631,0.805231845,0.587162139,10.51350105,1.920367535,1.958610804,5.668847716,1.110241503,1.410780419,1.900377186,2.153094776,2.791140319,1.06497232,1.759947574,2.140732988,2.498739154,1.828420854,4.241233645,1.296112264,6.667355259,3.107140318,4.907527561,1.430814662,1.86160929,1.358967313,5.495914648,1.404937853,2.437691009,1.367860117,1.94037614,1.515477702,5.550131484,3.642396067,2.357305198,1.374466703,0.836509719,2.1141018,3.366307968,1.112795458,3.1890791,3.953291571,2.519536761,1.262634999,0.898839509,0.930609652,1.637934349,1.716002069,0.679292412,0.665943911,2.924422304,2.930972337,1.620090504,4.281793219,1.337911881,1.224012016,2.918794985,0.947954202,1.78507271,2.310352038,3.662901114,1.361628394,2.463347581,5.207720136,3.308862862,1.067081721,5.299259762,1.221356532,1.851947359,1.937747763
log-sigma-3-0-mm-3D_glrlm_GrayLevelNonUniformity,2456.279469,265.7930808,2510.760036,1966.517548,1362.343377,598.3751654,387.9063242,3591.264824,125.3416581,9849.702398,927.528608,3964.947577,354.4873476,1917.952672,1307.904286,206.5923575,504.9075738,3248.633278,13345.60226,196.7197951,5262.308894,787.1437054,1055.503231,611.8267233,678.9042263,1147.530719,821.1757142,35.4298945,8716.231308,483.3301098,476.0005557,314.2323619,328.8145941,3337.448914,48.07500801,1203.942486,4540.051258,303.5091206,192.7377015,1866.888164,1458.078949,1439.241215,3193.605444,2177.038878,4035.95317,62.48934312,626.0797229,123.8196119,830.6382964,192.6849633,1677.987283,284.2989951,570.9744339,194.5941055,1867.8388,43.57590835,358.3530719,933.6382341,5563.499207,264.8120631,1284.220899,323.9694641,100.3888571,2307.879255,1034.358184,666.2337203,321.6891574,1400.150437,6731.814838,4647.47793,122.6359428,3809.117366,448.6003584,4858.190756,1352.489288,2131.882425,2728.364072,291.5878928,1980.8695,1298.096707,1150.839359,552.7272498,581.2404993,610.275843,924.9660969,167.7976,1755.234291,2224.306702,500.3931715,149.9977358,1736.747492,355.6473715,77.05397435,2019.354124,2364.763492,2518.420168,1313.295216,2103.94877,1009.366267,191.7110975,3751.845006,6004.002651,2462.996513,576.1643282,1109.335169,785.691087,1884.630861,770.0823734,2014.780637,67.85177899,2471.501682,1421.433294,697.0556229,2339.314893,16204.04272,805.5262889,45.4616026,2822.549629,7754.492201,433.3098834,681.451633,1250.455315,587.5312843,5547.517581,2523.045943,234.4930443,5385.284157,2106.181963,382.6265074,44.51705162,1130.883891,8688.575119,7320.020621,3327.935868,2093.863042,2681.354215
log-sigma-3-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized,0.172749574,0.290286343,0.226222599,0.208531835,0.354975779,0.199976209,0.191786604,0.34227219,0.167464065,0.143711132,0.183542243,0.164943572,0.155784939,0.192914778,0.197218369,0.208967329,0.156923091,0.21185667,0.248058993,0.179097138,0.221946345,0.143732115,0.167388766,0.239829764,0.305876878,0.184623949,0.537732451,0.094153346,0.240453825,0.195592281,0.210200579,0.328433553,0.241151928,0.235212619,0.134211095,0.142859689,0.21738881,0.144895158,0.181593062,0.146442564,0.28232129,0.132953347,0.306376208,0.17999201,0.187663799,0.130298455,0.122022017,0.159822444,0.179273968,0.157087253,0.198224294,0.21372884,0.210929444,0.154819022,0.196836027,0.127042752,0.183790427,0.152069889,0.101659006,0.159019466,0.198331804,0.211660019,0.209590224,0.16175904,0.172938756,0.219249306,0.235374831,0.185832244,0.268369609,0.311646463,0.103558779,0.173231062,0.189864328,0.113175127,0.345662436,0.2014384,0.184409989,0.183039779,0.173938013,0.25514334,0.213228174,0.175942176,0.178030712,0.199832037,0.166209817,0.221632367,0.101756584,0.147519298,0.133590542,0.220416562,0.190731605,0.241607465,0.117115212,0.214192304,0.181126241,0.218587788,0.184773848,0.196708873,0.128490395,0.136514381,0.177886437,0.22534526,0.245810727,0.155458661,0.157878487,0.237123871,0.145423682,0.147076048,0.183793114,0.232450778,0.277197626,0.248925726,0.214011288,0.203415518,0.300852376,0.262932275,0.155061358,0.144608103,0.198446332,0.138396108,0.233335954,0.228738475,0.16411677,0.24856744,0.190797368,0.166910553,0.129728292,0.222168123,0.173288388,0.116585439,0.147288753,0.234951218,0.114276396,0.229088024,0.199848087,0.186997841
log-sigma-3-0-mm-3D_glrlm_GrayLevelVariance,2.560502921,1.03702224,1.439581534,1.698219474,0.651449788,2.010929337,2.2629115,1.598557922,2.610270831,4.780209849,2.297992111,2.903617902,3.202793699,2.078876876,2.161553967,1.806718322,3.160673088,1.685537469,1.38825019,2.767467401,2.688566866,3.695535772,3.062239419,1.288829735,0.902587519,2.761487067,0.357743235,8.680751786,1.430439879,2.030911736,1.773530238,0.726428913,1.469038004,2.048268362,4.370277861,3.731509644,1.612024937,3.486451719,2.233566744,4.216963594,1.35007361,4.611020022,1.037534174,2.324005325,2.297645128,4.410064397,5.078038063,3.239537569,2.653762907,3.087042797,1.929435609,1.703407316,1.783405335,3.423653811,1.928156743,5.1043906,2.297823195,3.237930837,9.605475997,3.175760932,1.964785621,1.939627171,1.711400856,2.934570431,2.673630374,1.617658161,1.585007953,2.165855112,1.228498014,1.178174495,8.743161091,2.71881598,2.257437442,6.124359851,2.743968083,1.872408848,2.266605757,2.808755797,2.490804353,1.608382495,1.623086793,2.691266653,2.528709581,1.971026538,5.027613399,1.579895816,8.050246073,3.396184764,4.625625874,1.687430041,2.093591437,1.35696202,5.801164386,1.625380927,2.343374282,1.644732619,2.388158486,2.202430554,6.831551637,4.120742952,2.416525182,1.96645989,1.300113969,3.181217337,3.163971506,1.553308558,3.96533567,3.401639865,4.42154632,1.476977341,1.358420087,1.406254918,1.935107756,1.842093156,1.347504241,1.187156454,3.162896467,4.117112155,1.988469093,3.865923413,1.478858007,1.505042269,2.862322954,1.549535089,2.511019392,2.741802576,4.928635596,2.41537532,2.439367813,5.68093377,3.441737731,1.541239842,6.687456947,1.782996272,2.027559809,2.175802582
log-sigma-3-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,47.34115453,15.61720288,16.85603402,21.99938988,25.66691605,33.07105415,34.43736813,85.92632727,19.1430832,74.77508771,45.49027302,60.07510075,35.22814252,34.66559575,46.55340799,15.03187122,38.35025966,30.92463377,24.46090869,18.56123795,56.66284241,42.09690947,34.54829974,16.24074463,14.13448717,59.14413899,10.6781457,51.55609627,32.75907016,23.17475778,21.71475503,9.048864436,16.55276292,32.06687665,37.69091756,39.47101329,27.65736204,30.70722727,16.60560451,57.10433612,35.15708497,82.73568189,16.75447079,33.95034953,48.4310184,39.46090402,42.74666774,27.53609254,29.72411632,20.13418127,39.32424689,20.556389,35.09613541,29.19730552,21.99509581,36.33081508,25.94214786,27.75524994,138.9680204,31.60415827,34.55495817,26.2358127,18.92740542,40.55537028,39.55557696,19.61889494,12.17745334,29.32711329,33.87844804,27.02851731,45.96798868,47.59004342,27.6733334,102.4861709,95.29203272,35.05002165,35.17160207,47.74952071,35.6974446,26.6623983,22.24157146,34.34872653,29.89513096,29.72898801,126.3972133,17.98429162,116.4214858,33.56009873,65.29611622,15.74012463,32.16564059,16.75900278,44.06884165,25.49881576,37.35656011,39.77579757,45.46586961,28.4950764,80.16853808,35.14179242,44.16285968,42.85627002,29.35985468,27.16125879,32.37385274,23.62643423,41.25836669,39.05086567,157.1235643,13.71908231,22.30797322,30.4504956,37.2752479,22.39051029,50.44968775,15.38603522,22.48401813,68.46543133,39.35883157,31.63039426,28.46326371,28.5386342,46.79641088,34.99402519,40.96118847,17.88853319,55.65393115,72.82498726,24.44646253,41.07429655,37.29148053,42.63250578,123.5305823,32.22573324,41.52970761,34.65662937
log-sigma-3-0-mm-3D_glrlm_LongRunEmphasis,10.78681019,7.214695231,22.07624777,21.75399779,29.79225019,8.219834822,10.17837771,50.36581584,2.804617138,13.09414583,14.49661137,16.80965314,6.624665362,20.9868466,16.80553567,5.20613601,5.269936884,12.90601726,48.41332015,5.189414368,51.05469768,10.58436723,17.57070717,12.33403729,28.44468396,11.76057602,31.58705128,1.628148762,49.87893818,5.994436192,11.72309603,33.04393227,21.30167126,47.80699348,1.909400358,10.68403126,44.56845768,5.083488837,4.893178654,25.06829002,35.87429481,15.73603506,59.94227134,12.84415666,21.95903125,1.924386642,3.609702692,2.688020384,5.345442229,7.778355876,24.73636365,8.246578801,5.31067798,2.806696999,15.22027286,2.006609527,15.53259434,12.30098922,7.885131406,4.373615152,14.08343169,7.813737361,2.661583031,11.88422843,7.240446105,16.47147932,6.46733463,13.5673426,43.28807504,67.44104323,5.570778763,33.48189195,13.5530534,5.405102961,32.35038373,24.58820609,26.82762622,3.515268275,9.062132048,33.99216696,14.24309416,4.529076067,7.740980338,7.051517895,10.20243914,5.851526301,6.205260101,13.28346024,9.627772399,4.382789221,18.08104084,6.222546273,2.137429805,24.03020426,14.2967003,19.7177075,19.73085599,28.95549999,9.046391206,2.797948267,11.85500562,46.99289965,36.48601916,11.60713227,12.48352664,18.12942238,19.5286582,7.912503167,13.38852269,2.990522517,32.80406145,27.37777053,11.83029047,21.3947656,70.71621615,24.12111349,1.88877652,13.15951103,36.00771216,6.310671243,9.080476815,24.01828982,7.167194093,42.71018932,27.76493937,3.607286172,11.31214698,45.36298391,6.059541757,1.659824973,13.7287873,37.05087747,8.032405508,40.53057091,14.34387794,18.83159972
log-sigma-3-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,647.9059832,91.18484182,537.8520015,680.9506539,911.0195972,288.719836,401.7009802,4372.625238,41.55960728,857.462741,789.0289075,1248.451128,264.4379664,924.9506931,904.6026948,46.57598413,206.6371921,464.792736,1368.01932,62.74126743,3816.898888,580.5839952,767.3171624,211.2792786,480.8844462,834.0376597,333.2429718,79.84152377,1880.870276,132.8460514,314.8261749,291.489601,431.7952818,1936.199343,63.75821371,539.7703277,1627.690002,177.0639355,73.78485699,2159.768161,1414.873694,1745.295191,1036.447425,613.5239127,1306.013454,68.94336352,132.1545803,55.18843317,133.3704711,161.0386488,1217.869674,188.6900485,163.16811,62.6930648,438.1315679,64.78654757,503.5654888,455.0668465,966.4411048,100.2102609,593.5839421,220.9442822,43.64312416,607.1656366,319.3647334,368.5824159,72.43366017,523.4595535,1739.842061,2138.700471,379.9945409,2213.245605,442.6691622,523.3492233,3460.525956,1121.919882,1250.030654,142.5402205,388.2470642,1032.269211,377.6718803,139.1346218,239.3167287,223.1970287,1602.494451,88.45957116,658.1628825,555.0524174,857.4673171,41.23142299,693.6188018,103.280801,78.02292392,769.9015571,711.7722903,936.6950841,1120.966797,1091.648176,704.2599159,69.44873174,615.1729929,2673.875182,1255.076972,290.1721059,515.9324524,454.7790726,1112.62344,398.5123954,2235.154527,32.14598976,912.8722522,961.7738739,498.124299,666.2318155,3829.767913,383.2145588,36.80921316,815.5717719,1845.485896,228.6349476,278.1929918,939.9505641,398.1269664,1713.349627,1403.549161,44.62471806,567.4601509,4247.926998,156.278572,62.45531676,642.663418,1819.327026,862.4297441,1621.296422,712.1413031,834.2362192
log-sigma-3-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,0.236606818,0.699746413,1.33576651,0.913101693,1.034782466,0.320734167,0.352886522,0.594418475,0.582689275,0.227544104,0.321803076,0.271438929,0.30448035,0.571955296,0.357202934,1.019320719,0.227104564,0.450562833,1.94969098,0.782017427,0.743570558,0.287300842,0.612696603,0.975874678,1.948699323,0.204017718,3.226687457,0.160138166,1.43209785,0.403431052,0.604388921,4.264614127,1.364789291,1.354395262,0.117355176,0.340677301,1.381808775,0.360446775,0.897160122,0.357379167,0.988049387,0.172389541,4.029643007,0.368851862,0.417452752,0.126757412,0.243335602,0.248269377,0.302261677,0.931945167,0.575040635,0.563608797,0.211534096,0.250300181,0.772240018,0.146547436,0.689854506,0.629944234,0.077748785,0.285678222,0.418515566,0.42931983,0.264444451,0.318654464,0.232530837,1.063243022,1.015784931,0.494522299,1.165653092,2.283851343,0.417436881,0.567119496,0.596138357,0.071949254,0.339056045,0.606530506,0.706580631,0.108597047,0.299404009,1.338408571,0.767261517,0.213823742,0.355858844,0.297346103,0.082261938,0.588728695,0.072891725,0.503964725,0.161244739,0.758095633,0.607820115,0.553093824,0.146081734,0.914428678,0.378967857,0.471324006,0.412155609,0.946120725,0.147065511,0.219234924,0.287176729,0.902563124,1.142651377,0.868563817,0.521904518,0.888374055,0.483603355,0.275146766,0.085703605,0.469243884,1.403795803,0.871283152,0.348838093,0.94958127,1.355202411,1.804806936,0.320314156,0.240626558,0.803771943,0.446291399,0.370528343,0.708832821,0.167547922,1.163792639,0.652131054,0.823745053,0.290725089,0.512451008,0.439921626,0.167892619,0.460058384,0.814246806,0.086068996,1.162668042,0.349518953,0.531334806
log-sigma-3-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,0.028265877,0.091585327,0.099337982,0.071037309,0.044433503,0.04709014,0.047764992,0.014445118,0.130977758,0.018271736,0.029403922,0.022184843,0.055663308,0.041211583,0.028263892,0.130332182,0.043801383,0.04351386,0.059672961,0.120034532,0.025393759,0.041341674,0.059287664,0.096888476,0.109462314,0.024494661,0.114131916,0.072462017,0.038982547,0.068884252,0.081501213,0.191457241,0.119821804,0.050900373,0.053948407,0.043963896,0.050898957,0.07134038,0.150640031,0.025975432,0.036934097,0.017530873,0.098508064,0.04255718,0.027431548,0.053632377,0.054464548,0.070751478,0.052745273,0.142665849,0.032928744,0.087211438,0.037193687,0.066651882,0.077522483,0.06268207,0.070240202,0.069850394,0.010477012,0.054209828,0.0402704,0.069990798,0.084867792,0.037157307,0.040223702,0.089941584,0.169485178,0.052644703,0.037376854,0.054811099,0.090655997,0.02941674,0.063476248,0.013746298,0.019619257,0.03805383,0.04283647,0.029298441,0.039446871,0.058860462,0.067573034,0.04740078,0.051037144,0.048541339,0.013787858,0.095845195,0.012384244,0.058206847,0.027032752,0.105232893,0.045624137,0.097920744,0.04914747,0.05608258,0.039195494,0.031515944,0.031200794,0.061394869,0.020519536,0.054751506,0.030472524,0.030932173,0.043641984,0.080991966,0.060528982,0.066309408,0.04930309,0.043265943,0.008690162,0.131448613,0.074020033,0.046181038,0.040092057,0.077463756,0.023412397,0.111776467,0.11914574,0.020141929,0.03405429,0.073394978,0.047358467,0.048249648,0.029202458,0.039122923,0.036605379,0.148445539,0.029759052,0.01901793,0.076098228,0.076454576,0.04871952,0.029355293,0.010491336,0.045378239,0.031664668,0.042151613
log-sigma-3-0-mm-3D_glrlm_RunEntropy,4.863577024,3.915874954,4.967562004,4.97702669,4.62006646,4.515262219,4.759754906,5.333936629,3.731313885,5.258826459,5.03420248,5.103520954,4.628583446,5.111332957,5.029291231,3.784324501,4.498012189,4.806339463,5.584516912,4.202048562,5.476948087,4.971927268,5.291225365,4.506838852,4.685827142,4.938665114,4.308152957,4.172093516,5.544236721,4.367373313,4.635238263,4.457200154,4.78047955,5.461948878,3.825085074,5.069031675,5.407738989,4.546806997,4.09024441,5.316470096,5.217081992,5.290277497,5.398084596,4.785941577,5.244138221,3.820071649,4.494400128,3.869032287,4.318832235,4.751739743,5.269571295,4.449691659,4.110547602,3.925323628,4.906954264,3.961418131,4.863606633,4.942444686,5.393556549,4.188517756,4.847029489,4.527385857,3.472169037,4.921041137,4.699968642,4.781600919,4.217560672,4.918546433,5.305239845,5.482264431,4.803574262,5.370219358,4.826730881,5.018604263,4.956763736,4.963197966,5.329271203,4.000159203,4.783252923,5.293007982,4.839746692,4.309397104,4.726544966,4.508313697,4.953708469,4.110732627,5.166661536,5.144564948,4.973498512,3.583601572,5.155117628,4.159213523,4.073870312,5.083527058,4.950146809,5.03131421,4.984485359,5.236834435,5.223177563,4.005066713,4.969452851,5.431478124,5.088572219,4.044169847,4.970681625,4.832150682,5.205732925,4.726285227,5.141410393,3.447520299,5.099974984,5.178173202,4.803091404,5.116957423,5.657609547,4.738999798,3.602158495,5.129187489,5.446461543,4.811559893,4.448718407,4.914152841,4.756009571,5.423752127,5.411979022,4.001386713,5.229619336,5.336276214,4.448427236,3.887625802,5.200779509,5.380294162,5.192029087,5.479031515,4.89660659,5.091095962
log-sigma-3-0-mm-3D_glrlm_RunLengthNonUniformity,4488.204049,307.7998633,2350.477249,2096.116168,617.379774,1022.304819,563.9355884,1329.570388,458.590077,23519.99561,1288.252044,7405.904718,926.042637,2398.993807,1525.328718,495.6188453,1407.303914,4114.262011,7235.169142,493.336107,3986.989776,1875.515332,1388.496327,726.9904191,370.3210821,1790.245989,208.1316201,279.0876071,5053.697124,949.4987289,651.147688,161.416909,272.873205,2121.025564,251.2064999,2705.827011,3520.965894,894.1955237,502.6425023,3326.386414,799.9267146,3174.210977,1281.771456,3797.763216,4733.304427,337.7111443,2889.812774,474.3966202,2116.707027,417.6035008,1631.468167,409.4296966,1173.111768,782.5481911,2542.075589,230.2566534,526.7747831,1978.718644,24220.47623,883.5425132,1762.201523,488.179248,277.0182337,4899.370899,2174.208411,753.4530975,485.3775747,2043.746774,3780.897465,1696.130776,513.0116055,4581.268121,625.5230237,19924.65534,625.4488214,2518.664678,3105.780904,878.5901216,3689.366993,766.9933161,1358.770595,1453.043869,1102.478354,1068.484142,1789.27079,287.8668317,8088.005471,4687.339621,1332.915782,349.603905,2131.049625,522.3906911,450.7435615,1959.541713,3684.679031,2473.321053,1951.823431,2182.372274,2957.496003,888.4254495,6405.0414,4346.528406,1900.080171,2807.569961,2218.658692,768.7976271,3810.355567,2001.234156,3306.521789,158.6020401,1433.558362,961.8422106,892.0429321,2445.015883,5948.735044,627.6917457,200.961162,7083.523224,7175.671119,1208.032093,920.0244248,1119.821921,1202.418285,3607.027506,2415.33005,757.371116,15408.80712,1682.757894,887.1033729,285.2258331,2136.32334,6296.795328,27797.84163,2257.932307,2907.779553,3458.692867
log-sigma-3-0-mm-3D_glrlm_RunLengthNonUniformityNormalized,0.301276125,0.322981689,0.201727481,0.210465773,0.152347756,0.321401697,0.266227271,0.121888565,0.595280871,0.334304388,0.244999286,0.29496949,0.363480174,0.232196724,0.217300932,0.485469483,0.415453366,0.256266935,0.128829011,0.435959631,0.160628395,0.333080989,0.211911543,0.271669276,0.153968888,0.275443585,0.128847858,0.737046818,0.132342833,0.373161974,0.268841397,0.158613385,0.186724364,0.140573132,0.691983906,0.311418131,0.159550237,0.412936825,0.440921121,0.254035658,0.148420513,0.285428931,0.115423226,0.299496845,0.21230024,0.697696201,0.553176207,0.595996425,0.448412749,0.323695885,0.185042396,0.293477415,0.420340753,0.608752261,0.255915886,0.663941353,0.237329636,0.306496643,0.435144231,0.519275305,0.258469999,0.308368496,0.561641123,0.333771419,0.3513656,0.235343102,0.341252424,0.262127923,0.143158291,0.108555698,0.419929157,0.199586662,0.250825182,0.453931024,0.151663622,0.22467362,0.202734759,0.543219045,0.313063628,0.141161948,0.243383399,0.449885704,0.327841877,0.336901348,0.313398805,0.367413476,0.463670229,0.30004089,0.338428464,0.501279846,0.218305154,0.343816121,0.678201585,0.195935257,0.269046585,0.204814207,0.252157138,0.192819746,0.369856616,0.62632973,0.295040626,0.155475453,0.17938246,0.626374482,0.294667148,0.217993981,0.284139362,0.363801823,0.295357872,0.527119424,0.151958788,0.159753079,0.264119424,0.205131882,0.105558228,0.19516173,0.678868541,0.354184688,0.175170121,0.37447196,0.301097339,0.197328286,0.322360542,0.155234723,0.174012217,0.526872304,0.363178499,0.169412818,0.387484657,0.741636784,0.26220008,0.164018075,0.426271942,0.14823861,0.266033439,0.228124001
log-sigma-3-0-mm-3D_glrlm_RunPercentage,0.4401769,0.483860437,0.311593576,0.318575759,0.256776189,0.481573089,0.420475349,0.206947645,0.727483196,0.437454295,0.371168677,0.383648162,0.532783019,0.329802745,0.353751996,0.592838993,0.573736264,0.395605247,0.214592717,0.567123832,0.227409738,0.444040884,0.333825671,0.409589126,0.26788752,0.410514519,0.237386657,0.84684529,0.215117033,0.527843524,0.406880766,0.248851149,0.310250569,0.219558026,0.813636364,0.431501082,0.236395729,0.569335284,0.603399433,0.318248077,0.242322165,0.378224645,0.196154925,0.418425327,0.319475952,0.807239819,0.665881296,0.729898403,0.569088845,0.476416219,0.290673787,0.456059009,0.566414548,0.73059034,0.373173758,0.789213086,0.373250573,0.42308221,0.521868085,0.624217059,0.39190676,0.465501876,0.720416426,0.432229766,0.496804734,0.358109579,0.50603682,0.384564364,0.232148909,0.182139158,0.557755656,0.271352245,0.384290446,0.574957769,0.252808144,0.314957329,0.292866109,0.666892437,0.450741546,0.246944139,0.370440202,0.597904762,0.474864336,0.492840761,0.436473298,0.531174089,0.561172638,0.412121595,0.465043695,0.618461538,0.344447838,0.510763889,0.783424908,0.304710059,0.392307692,0.324812112,0.355531136,0.285953668,0.477119835,0.723750991,0.410922657,0.231689872,0.264819154,0.710302091,0.433901628,0.33944135,0.360369711,0.500792719,0.399309412,0.68561086,0.25331629,0.270847322,0.400161145,0.314454128,0.178670512,0.305052526,0.804214963,0.433450026,0.260884103,0.520074112,0.449463258,0.297092622,0.484860164,0.238575526,0.278121815,0.654366147,0.449677976,0.236085733,0.534945586,0.848205128,0.395807453,0.255719576,0.51455212,0.235164124,0.386469158,0.34195637
log-sigma-3-0-mm-3D_glrlm_RunVariance,4.618866882,2.418310556,10.10656105,10.20294033,12.01939502,3.011700778,3.568493747,23.05509149,0.73498224,7.261870784,6.223720076,8.807464621,1.956638533,10.67069024,6.651614732,2.054474236,1.75866409,5.360518263,23.52257221,1.847625664,28.1681555,4.944996484,7.485632416,5.07903985,10.74792249,4.875875279,9.597493807,0.218241279,24.54296161,2.089714414,4.404303086,13.49137774,7.921913399,23.37066277,0.332281118,4.832758558,23.25828878,1.710968909,1.534768434,14.24755927,16.08909222,8.105286534,27.63021714,5.965094519,10.80245643,0.354691049,1.23366485,0.669455484,2.069255171,2.725080498,11.35265918,2.690284008,1.896416858,0.789473897,6.936225463,0.361412788,5.522004202,5.745606506,4.009763729,1.635161021,6.041567151,2.746284713,0.559120665,6.044804379,2.790083288,7.227447075,2.140682394,6.101766036,20.96244368,31.9585074,2.064129203,18.03004343,5.567349052,2.181699243,13.57089599,12.74341059,13.82234353,1.155590281,3.637056646,13.98304968,6.155682849,1.499341523,2.885669435,2.459920812,4.481764707,1.895440618,2.895786939,6.604521005,4.209886024,1.552921073,7.771675414,2.043272257,0.461436571,11.18301923,6.816732556,8.523630449,9.039847109,14.32752178,4.332858991,0.828771474,5.448367002,25.3507697,19.46164408,5.19704318,5.628963372,7.554406076,10.61399706,3.151162075,6.547539017,0.71556233,14.23560774,11.42819007,4.807823058,10.08409607,34.6240986,10.98855316,0.310122837,7.309796238,19.01441453,2.303023196,3.391575855,11.22685884,2.395370121,22.31186862,12.87627973,1.122646986,6.026473343,24.87378234,2.191853001,0.236884727,5.866245286,19.52185642,4.039824606,19.16527129,6.706543782,8.841808039
log-sigma-3-0-mm-3D_glrlm_ShortRunEmphasis,0.534948421,0.563196754,0.385904559,0.397679384,0.316268631,0.541585802,0.490076103,0.292342543,0.793049944,0.586482576,0.461152367,0.543335275,0.567626707,0.463974786,0.414449681,0.715555386,0.646016441,0.477151299,0.296361328,0.677536859,0.364952797,0.586229617,0.430395189,0.503495126,0.320607304,0.508010414,0.255717137,0.881063912,0.299553598,0.614354463,0.467431324,0.351684617,0.372079383,0.327663404,0.854587101,0.561805058,0.351013526,0.655003386,0.66479766,0.506732332,0.339746076,0.537528485,0.278320582,0.531595525,0.422609803,0.859169925,0.768037523,0.792298077,0.692096643,0.562714143,0.38571241,0.521437273,0.663589103,0.803625278,0.483716813,0.838712299,0.420771553,0.54715155,0.681507595,0.744356313,0.481349468,0.544989229,0.764733827,0.587910947,0.594465014,0.44369332,0.577302126,0.493207025,0.318743323,0.266135964,0.664895997,0.419941401,0.474823892,0.694418127,0.34693604,0.435047861,0.424027856,0.761394322,0.554406854,0.302675576,0.476954218,0.688297558,0.57233083,0.57364472,0.558647277,0.605162563,0.705997503,0.54728007,0.582070583,0.729736531,0.415967638,0.582464873,0.84725826,0.384740264,0.498787801,0.40980815,0.474458976,0.403093629,0.62529962,0.816739927,0.54224904,0.348445544,0.370205191,0.743220496,0.528057487,0.43323599,0.532779622,0.604872576,0.549654577,0.74260127,0.322309576,0.328597106,0.501853551,0.412094267,0.267066711,0.391571416,0.848097728,0.607941418,0.377545326,0.621157328,0.536956491,0.404719926,0.557520678,0.352069654,0.371150004,0.746510169,0.61813573,0.370705515,0.630902787,0.883257655,0.481876109,0.360271093,0.674683318,0.338977763,0.502010863,0.440492411
